"Geographic name, english","Geographic name, french","CSD type, english","CSD type, french","Province / territory, english","Province / territory, french"
Langenburg,Langenburg,Town,Town,Saskatchewan,Saskatchewan
Esterhazy,Esterhazy,Town,Town,Saskatchewan,Saskatchewan
Lemberg,Lemberg,Town,Town,Saskatchewan,Saskatchewan
Melville,Melville,City,City,Saskatchewan,Saskatchewan
Saltcoats,Saltcoats,Town,Town,Saskatchewan,Saskatchewan
Bredenbury,Bredenbury,Town,Town,Saskatchewan,Saskatchewan
Churchbridge,Churchbridge,Town,Town,Saskatchewan,Saskatchewan
Francis,Francis,Town,Town,Saskatchewan,Saskatchewan
Rouleau,Rouleau,Town,Town,Saskatchewan,Saskatchewan
Pense,Pense,Town,Town,Saskatchewan,Saskatchewan
Regina,Regina,City,City,Saskatchewan,Saskatchewan
White City,White City,Town,Town,Saskatchewan,Saskatchewan
Pilot Butte,Pilot Butte,Town,Town,Saskatchewan,Saskatchewan
Balgonie,Balgonie,Town,Town,Saskatchewan,Saskatchewan
Qu'Appelle,Qu'Appelle,Town,Town,Saskatchewan,Saskatchewan
Indian Head,Indian Head,Town,Town,Saskatchewan,Saskatchewan
Sintaluta,Sintaluta,Town,Town,Saskatchewan,Saskatchewan
Balcarres,Balcarres,Town,Town,Saskatchewan,Saskatchewan
Fort Qu'Appelle,Fort Qu'Appelle,Town,Town,Saskatchewan,Saskatchewan
Lumsden,Lumsden,Town,Town,Saskatchewan,Saskatchewan
Regina Beach,Regina Beach,Town,Town,Saskatchewan,Saskatchewan
Strasbourg,Strasbourg,Town,Town,Saskatchewan,Saskatchewan
Southey,Southey,Town,Town,Saskatchewan,Saskatchewan
Cupar,Cupar,Town,Town,Saskatchewan,Saskatchewan
Herbert,Herbert,Town,Town,Saskatchewan,Saskatchewan
Morse,Morse,Town,Town,Saskatchewan,Saskatchewan
Moose Jaw,Moose Jaw,City,City,Saskatchewan,Saskatchewan
Central Butte,Central Butte,Town,Town,Saskatchewan,Saskatchewan
Craik,Craik,Town,Town,Saskatchewan,Saskatchewan
Swift Current,Swift Current,City,City,Saskatchewan,Saskatchewan
Gull Lake,Gull Lake,Town,Town,Saskatchewan,Saskatchewan
Cabri,Cabri,Town,Town,Saskatchewan,Saskatchewan
Kyle,Kyle,Town,Town,Saskatchewan,Saskatchewan
Leader,Leader,Town,Town,Saskatchewan,Saskatchewan
Burstall,Burstall,Town,Town,Saskatchewan,Saskatchewan
Eatonia,Eatonia,Town,Town,Saskatchewan,Saskatchewan
Eston,Eston,Town,Town,Saskatchewan,Saskatchewan
Elrose,Elrose,Town,Town,Saskatchewan,Saskatchewan
Yorkton,Yorkton,City,City,Saskatchewan,Saskatchewan
Springside,Springside,Town,Town,Saskatchewan,Saskatchewan
Canora,Canora,Town,Town,Saskatchewan,Saskatchewan
Kamsack,Kamsack,Town,Town,Saskatchewan,Saskatchewan
Preeceville,Preeceville,Town,Town,Saskatchewan,Saskatchewan
Sturgis,Sturgis,Town,Town,Saskatchewan,Saskatchewan
Norquay,Norquay,Town,Town,Saskatchewan,Saskatchewan
Ituna,Ituna,Town,Town,Saskatchewan,Saskatchewan
Raymore,Raymore,Town,Town,Saskatchewan,Saskatchewan
Foam Lake,Foam Lake,Town,Town,Saskatchewan,Saskatchewan
Wynyard,Wynyard,Town,Town,Saskatchewan,Saskatchewan
Leroy,Leroy,Town,Town,Saskatchewan,Saskatchewan
Watson,Watson,Town,Town,Saskatchewan,Saskatchewan
Wadena,Wadena,Town,Town,Saskatchewan,Saskatchewan
Govan,Govan,Town,Town,Saskatchewan,Saskatchewan
Imperial,Imperial,Town,Town,Saskatchewan,Saskatchewan
Davidson,Davidson,Town,Town,Saskatchewan,Saskatchewan
Outlook,Outlook,Town,Town,Saskatchewan,Saskatchewan
Hanley,Hanley,Town,Town,Saskatchewan,Saskatchewan
Nokomis,Nokomis,Town,Town,Saskatchewan,Saskatchewan
Lanigan,Lanigan,Town,Town,Saskatchewan,Saskatchewan
Watrous,Watrous,Town,Town,Saskatchewan,Saskatchewan
Dundurn,Dundurn,Town,Town,Saskatchewan,Saskatchewan
Saskatoon,Saskatoon,City,City,Saskatchewan,Saskatchewan
Langham,Langham,Town,Town,Saskatchewan,Saskatchewan
Warman,Warman,City,City,Saskatchewan,Saskatchewan
Martensville,Martensville,City,City,Saskatchewan,Saskatchewan
Allan,Allan,Town,Town,Saskatchewan,Saskatchewan
Dalmeny,Dalmeny,Town,Town,Saskatchewan,Saskatchewan
Osler,Osler,Town,Town,Saskatchewan,Saskatchewan
Colonsay,Colonsay,Town,Town,Saskatchewan,Saskatchewan
Rosetown,Rosetown,Town,Town,Saskatchewan,Saskatchewan
Zealandia,Zealandia,Town,Town,Saskatchewan,Saskatchewan
Biggar,Biggar,Town,Town,Saskatchewan,Saskatchewan
Delisle,Delisle,Town,Town,Saskatchewan,Saskatchewan
Asquith,Asquith,Town,Town,Saskatchewan,Saskatchewan
Battleford,Battleford,Town,Town,Saskatchewan,Saskatchewan
Kindersley,Kindersley,Town,Town,Saskatchewan,Saskatchewan
Kerrobert,Kerrobert,Town,Town,Saskatchewan,Saskatchewan
Luseland,Luseland,Town,Town,Saskatchewan,Saskatchewan
Macklin,Macklin,Town,Town,Saskatchewan,Saskatchewan
Scott,Scott,Town,Town,Saskatchewan,Saskatchewan
Wilkie,Wilkie,Town,Town,Saskatchewan,Saskatchewan
Unity,Unity,Town,Town,Saskatchewan,Saskatchewan
Cut Knife,Cut Knife,Town,Town,Saskatchewan,Saskatchewan
Hudson Bay,Hudson Bay,Town,Town,Saskatchewan,Saskatchewan
Porcupine Plain,Porcupine Plain,Town,Town,Saskatchewan,Saskatchewan
Kelvington,Kelvington,Town,Town,Saskatchewan,Saskatchewan
Rose Valley,Rose Valley,Town,Town,Saskatchewan,Saskatchewan
Naicam,Naicam,Town,Town,Saskatchewan,Saskatchewan
Tisdale,Tisdale,Town,Town,Saskatchewan,Saskatchewan
Star City,Star City,Town,Town,Saskatchewan,Saskatchewan
Melfort,Melfort,City,City,Saskatchewan,Saskatchewan
Arborfield,Arborfield,Town,Town,Saskatchewan,Saskatchewan
Carrot River,Carrot River,Town,Town,Saskatchewan,Saskatchewan
Nipawin,Nipawin,Town,Town,Saskatchewan,Saskatchewan
Choiceland,Choiceland,Town,Town,Saskatchewan,Saskatchewan
Humboldt,Humboldt,City,City,Saskatchewan,Saskatchewan
Bruno,Bruno,Town,Town,Saskatchewan,Saskatchewan
Vonda,Vonda,Town,Town,Saskatchewan,Saskatchewan
Aberdeen,Aberdeen,Town,Town,Saskatchewan,Saskatchewan
Hepburn,Hepburn,Town,Town,Saskatchewan,Saskatchewan
Waldheim,Waldheim,Town,Town,Saskatchewan,Saskatchewan
Rosthern,Rosthern,Town,Town,Saskatchewan,Saskatchewan
Hague,Hague,Town,Town,Saskatchewan,Saskatchewan
Cudworth,Cudworth,Town,Town,Saskatchewan,Saskatchewan
Wakaw,Wakaw,Town,Town,Saskatchewan,Saskatchewan
St. Brieux,St. Brieux,Town,Town,Saskatchewan,Saskatchewan
Duck Lake,Duck Lake,Town,Town,Saskatchewan,Saskatchewan
Prince Albert,Prince Albert,City,City,Saskatchewan,Saskatchewan
Birch Hills,Birch Hills,Town,Town,Saskatchewan,Saskatchewan
Kinistino,Kinistino,Town,Town,Saskatchewan,Saskatchewan
Radisson,Radisson,Town,Town,Saskatchewan,Saskatchewan
Blaine Lake,Blaine Lake,Town,Town,Saskatchewan,Saskatchewan
Hafford,Hafford,Town,Town,Saskatchewan,Saskatchewan
North Battleford,North Battleford,City,City,Saskatchewan,Saskatchewan
Shellbrook,Shellbrook,Town,Town,Saskatchewan,Saskatchewan
Spiritwood,Spiritwood,Town,Town,Saskatchewan,Saskatchewan
Big River,Big River,Town,Town,Saskatchewan,Saskatchewan
Maidstone,Maidstone,Town,Town,Saskatchewan,Saskatchewan
Lashburn,Lashburn,Town,Town,Saskatchewan,Saskatchewan
Marshall,Marshall,Town,Town,Saskatchewan,Saskatchewan
Lloydminster (Part),Lloydminster (Part),City,City,Saskatchewan,Saskatchewan
St. Walburg,St. Walburg,Town,Town,Saskatchewan,Saskatchewan
Turtleford,Turtleford,Town,Town,Saskatchewan,Saskatchewan
Meadow Lake,Meadow Lake,City,City,Saskatchewan,Saskatchewan
La Ronge,La Ronge,Town,Town,Saskatchewan,Saskatchewan
Creighton,Creighton,Town,Town,Saskatchewan,Saskatchewan
Flin Flon (Part),Flin Flon (Part),City,City,Saskatchewan,Saskatchewan
Medicine Hat,Medicine Hat,City,City,Alberta,Alberta
Bow Island,Bow Island,Town,Town,Alberta,Alberta
Redcliff,Redcliff,Town,Town,Alberta,Alberta
Milk River,Milk River,Town,Town,Alberta,Alberta
Raymond,Raymond,Town,Town,Alberta,Alberta
Lethbridge,Lethbridge,City,City,Alberta,Alberta
Coalhurst,Coalhurst,Town,Town,Alberta,Alberta
Picture Butte,Picture Butte,Town,Town,Alberta,Alberta
Coaldale,Coaldale,Town,Town,Alberta,Alberta
Taber,Taber,Town,Town,Alberta,Alberta
Vauxhall,Vauxhall,Town,Town,Alberta,Alberta
Brooks,Brooks,City,City,Alberta,Alberta
Bassano,Bassano,Town,Town,Alberta,Alberta
Magrath,Magrath,Town,Town,Alberta,Alberta
Cardston,Cardston,Town,Town,Alberta,Alberta
Pincher Creek,Pincher Creek,Town,Town,Alberta,Alberta
Fort Macleod,Fort Macleod,Town,Town,Alberta,Alberta
Granum,Granum,Town,Town,Alberta,Alberta
Claresholm,Claresholm,Town,Town,Alberta,Alberta
Stavely,Stavely,Town,Town,Alberta,Alberta
Nanton,Nanton,Town,Town,Alberta,Alberta
Hanna,Hanna,Town,Town,Alberta,Alberta
Oyen,Oyen,Town,Town,Alberta,Alberta
Vulcan,Vulcan,Town,Town,Alberta,Alberta
Strathmore,Strathmore,Town,Town,Alberta,Alberta
Drumheller,Drumheller,Town,Town,Alberta,Alberta
Three Hills,Three Hills,Town,Town,Alberta,Alberta
Trochu,Trochu,Town,Town,Alberta,Alberta
High River,High River,Town,Town,Alberta,Alberta
Turner Valley,Turner Valley,Town,Town,Alberta,Alberta
Black Diamond,Black Diamond,Town,Town,Alberta,Alberta
Okotoks,Okotoks,Town,Town,Alberta,Alberta
Calgary,Calgary,City,City,Alberta,Alberta
Chestermere,Chestermere,City,City,Alberta,Alberta
Cochrane,Cochrane,Town,Town,Alberta,Alberta
Airdrie,Airdrie,City,City,Alberta,Alberta
Irricana,Irricana,Town,Town,Alberta,Alberta
Crossfield,Crossfield,Town,Town,Alberta,Alberta
Carstairs,Carstairs,Town,Town,Alberta,Alberta
Didsbury,Didsbury,Town,Town,Alberta,Alberta
Olds,Olds,Town,Town,Alberta,Alberta
Sundre,Sundre,Town,Town,Alberta,Alberta
Provost,Provost,Town,Town,Alberta,Alberta
Coronation,Coronation,Town,Town,Alberta,Alberta
Castor,Castor,Town,Town,Alberta,Alberta
Stettler,Stettler,Town,Town,Alberta,Alberta
Daysland,Daysland,Town,Town,Alberta,Alberta
Killam,Killam,Town,Town,Alberta,Alberta
Sedgewick,Sedgewick,Town,Town,Alberta,Alberta
Hardisty,Hardisty,Town,Town,Alberta,Alberta
Wainwright,Wainwright,Town,Town,Alberta,Alberta
Bowden,Bowden,Town,Town,Alberta,Alberta
Innisfail,Innisfail,Town,Town,Alberta,Alberta
Penhold,Penhold,Town,Town,Alberta,Alberta
Red Deer,Red Deer,City,City,Alberta,Alberta
Sylvan Lake,Sylvan Lake,Town,Town,Alberta,Alberta
Eckville,Eckville,Town,Town,Alberta,Alberta
Bentley,Bentley,Town,Town,Alberta,Alberta
Blackfalds,Blackfalds,Town,Town,Alberta,Alberta
Lacombe,Lacombe,City,City,Alberta,Alberta
Ponoka,Ponoka,Town,Town,Alberta,Alberta
Rimbey,Rimbey,Town,Town,Alberta,Alberta
Rocky Mountain House,Rocky Mountain House,Town,Town,Alberta,Alberta
Bashaw,Bashaw,Town,Town,Alberta,Alberta
Camrose,Camrose,City,City,Alberta,Alberta
Tofield,Tofield,Town,Town,Alberta,Alberta
Viking,Viking,Town,Town,Alberta,Alberta
Vegreville,Vegreville,Town,Town,Alberta,Alberta
Lloydminster (Part),Lloydminster (Part),City,City,Alberta,Alberta
Vermilion,Vermilion,Town,Town,Alberta,Alberta
Two Hills,Two Hills,Town,Town,Alberta,Alberta
Mundare,Mundare,Town,Town,Alberta,Alberta
Lamont,Lamont,Town,Town,Alberta,Alberta
Bruderheim,Bruderheim,Town,Town,Alberta,Alberta
Wetaskiwin,Wetaskiwin,City,City,Alberta,Alberta
Millet,Millet,Town,Town,Alberta,Alberta
Beaumont,Beaumont,Town,Town,Alberta,Alberta
Leduc,Leduc,City,City,Alberta,Alberta
Devon,Devon,Town,Town,Alberta,Alberta
Calmar,Calmar,Town,Town,Alberta,Alberta
Drayton Valley,Drayton Valley,Town,Town,Alberta,Alberta
Stony Plain,Stony Plain,Town,Town,Alberta,Alberta
Spruce Grove,Spruce Grove,City,City,Alberta,Alberta
Fort Saskatchewan,Fort Saskatchewan,City,City,Alberta,Alberta
Edmonton,Edmonton,City,City,Alberta,Alberta
St. Albert,St. Albert,City,City,Alberta,Alberta
Gibbons,Gibbons,Town,Town,Alberta,Alberta
Redwater,Redwater,Town,Town,Alberta,Alberta
Bon Accord,Bon Accord,Town,Town,Alberta,Alberta
Morinville,Morinville,Town,Town,Alberta,Alberta
Legal,Legal,Town,Town,Alberta,Alberta
Cold Lake,Cold Lake,City,City,Alberta,Alberta
Bonnyville,Bonnyville,Town,Town,Alberta,Alberta
Elk Point,Elk Point,Town,Town,Alberta,Alberta
St. Paul,St. Paul,Town,Town,Alberta,Alberta
Smoky Lake,Smoky Lake,Town,Town,Alberta,Alberta
Mayerthorpe,Mayerthorpe,Town,Town,Alberta,Alberta
Onoway,Onoway,Town,Town,Alberta,Alberta
Barrhead,Barrhead,Town,Town,Alberta,Alberta
Whitecourt,Whitecourt,Town,Town,Alberta,Alberta
Westlock,Westlock,Town,Town,Alberta,Alberta
Athabasca,Athabasca,Town,Town,Alberta,Alberta
Hinton,Hinton,Town,Town,Alberta,Alberta
Edson,Edson,Town,Town,Alberta,Alberta
Canmore,Canmore,Town,Town,Alberta,Alberta
Banff,Banff,Town,Town,Alberta,Alberta
High Prairie,High Prairie,Town,Town,Alberta,Alberta
Swan Hills,Swan Hills,Town,Town,Alberta,Alberta
Slave Lake,Slave Lake,Town,Town,Alberta,Alberta
Manning,Manning,Town,Town,Alberta,Alberta
High Level,High Level,Town,Town,Alberta,Alberta
Rainbow Lake,Rainbow Lake,Town,Town,Alberta,Alberta
Fox Creek,Fox Creek,Town,Town,Alberta,Alberta
Grande Cache,Grande Cache,Town,Town,Alberta,Alberta
Valleyview,Valleyview,Town,Town,Alberta,Alberta
Beaverlodge,Beaverlodge,Town,Town,Alberta,Alberta
Wembley,Wembley,Town,Town,Alberta,Alberta
Grande Prairie,Grande Prairie,City,City,Alberta,Alberta
Sexsmith,Sexsmith,Town,Town,Alberta,Alberta
Peace River,Peace River,Town,Town,Alberta,Alberta
McLennan,McLennan,Town,Town,Alberta,Alberta
Falher,Falher,Town,Town,Alberta,Alberta
Spirit River,Spirit River,Town,Town,Alberta,Alberta
Fairview,Fairview,Town,Town,Alberta,Alberta
Grimshaw,Grimshaw,Town,Town,Alberta,Alberta
Fernie,Fernie,City,City,British Columbia,Colombie-Britannique
Cranbrook,Cranbrook,City,City,British Columbia,Colombie-Britannique
Kimberley,Kimberley,City,City,British Columbia,Colombie-Britannique
Creston,Creston,Town,Town,British Columbia,Colombie-Britannique
Nelson,Nelson,City,City,British Columbia,Colombie-Britannique
Castlegar,Castlegar,City,City,British Columbia,Colombie-Britannique
Trail,Trail,City,City,British Columbia,Colombie-Britannique
Rossland,Rossland,City,City,British Columbia,Colombie-Britannique
Grand Forks,Grand Forks,City,City,British Columbia,Colombie-Britannique
Greenwood,Greenwood,City,City,British Columbia,Colombie-Britannique
Osoyoos,Osoyoos,Town,Town,British Columbia,Colombie-Britannique
Oliver,Oliver,Town,Town,British Columbia,Colombie-Britannique
Princeton,Princeton,Town,Town,British Columbia,Colombie-Britannique
Penticton,Penticton,City,City,British Columbia,Colombie-Britannique
Chilliwack,Chilliwack,City,City,British Columbia,Colombie-Britannique
Abbotsford,Abbotsford,City,City,British Columbia,Colombie-Britannique
Langley,Langley,City,City,British Columbia,Colombie-Britannique
Surrey,Surrey,City,City,British Columbia,Colombie-Britannique
White Rock,White Rock,City,City,British Columbia,Colombie-Britannique
Richmond,Richmond,City,City,British Columbia,Colombie-Britannique
Vancouver,Vancouver,City,City,British Columbia,Colombie-Britannique
Burnaby,Burnaby,City,City,British Columbia,Colombie-Britannique
New Westminster,New Westminster,City,City,British Columbia,Colombie-Britannique
Coquitlam,Coquitlam,City,City,British Columbia,Colombie-Britannique
Port Coquitlam,Port Coquitlam,City,City,British Columbia,Colombie-Britannique
Port Moody,Port Moody,City,City,British Columbia,Colombie-Britannique
North Vancouver,North Vancouver,City,City,British Columbia,Colombie-Britannique
Pitt Meadows,Pitt Meadows,City,City,British Columbia,Colombie-Britannique
Maple Ridge,Maple Ridge,City,City,British Columbia,Colombie-Britannique
Sidney,Sidney,Town,Town,British Columbia,Colombie-Britannique
Victoria,Victoria,City,City,British Columbia,Colombie-Britannique
Colwood,Colwood,City,City,British Columbia,Colombie-Britannique
Langford,Langford,City,City,British Columbia,Colombie-Britannique
View Royal,View Royal,Town,Town,British Columbia,Colombie-Britannique
Duncan,Duncan,City,City,British Columbia,Colombie-Britannique
Lake Cowichan,Lake Cowichan,Town,Town,British Columbia,Colombie-Britannique
Ladysmith,Ladysmith,Town,Town,British Columbia,Colombie-Britannique
Nanaimo,Nanaimo,City,City,British Columbia,Colombie-Britannique
Parksville,Parksville,City,City,British Columbia,Colombie-Britannique
Qualicum Beach,Qualicum Beach,Town,Town,British Columbia,Colombie-Britannique
Port Alberni,Port Alberni,City,City,British Columbia,Colombie-Britannique
Campbell River,Campbell River,City,City,British Columbia,Colombie-Britannique
Comox,Comox,Town,Town,British Columbia,Colombie-Britannique
Courtenay,Courtenay,City,City,British Columbia,Colombie-Britannique
Powell River,Powell River,City,City,British Columbia,Colombie-Britannique
Gibsons,Gibsons,Town,Town,British Columbia,Colombie-Britannique
Merritt,Merritt,City,City,British Columbia,Colombie-Britannique
Kamloops,Kamloops,City,City,British Columbia,Colombie-Britannique
Kelowna,Kelowna,City,City,British Columbia,Colombie-Britannique
Vernon,Vernon,City,City,British Columbia,Colombie-Britannique
Armstrong,Armstrong,City,City,British Columbia,Colombie-Britannique
Enderby,Enderby,City,City,British Columbia,Colombie-Britannique
Golden,Golden,Town,Town,British Columbia,Colombie-Britannique
Revelstoke,Revelstoke,City,City,British Columbia,Colombie-Britannique
Salmon Arm,Salmon Arm,City,City,British Columbia,Colombie-Britannique
Williams Lake,Williams Lake,City,City,British Columbia,Colombie-Britannique
Quesnel,Quesnel,City,City,British Columbia,Colombie-Britannique
Port McNeill,Port McNeill,Town,Town,British Columbia,Colombie-Britannique
Prince Rupert,Prince Rupert,City,City,British Columbia,Colombie-Britannique
Terrace,Terrace,City,City,British Columbia,Colombie-Britannique
Smithers,Smithers,Town,Town,British Columbia,Colombie-Britannique
Prince George,Prince George,City,City,British Columbia,Colombie-Britannique
Dawson Creek,Dawson Creek,City,City,British Columbia,Colombie-Britannique
Fort St. John,Fort St. John,City,City,British Columbia,Colombie-Britannique
Watson Lake,Watson Lake,Town,Town,Yukon,Yukon
Faro,Faro,Town,Town,Yukon,Yukon
Whitehorse,Whitehorse,City,City,Yukon,Yukon
Dawson,Dawson,Town,Town,Yukon,Yukon
Inuvik,Inuvik,Town,Town,Northwest Territories,Territoires du Nord-Ouest
Norman Wells,Norman Wells,Town,Town,Northwest Territories,Territoires du Nord-Ouest
Fort Smith,Fort Smith,Town,Town,Northwest Territories,Territoires du Nord-Ouest
Hay River,Hay River,Town,Town,Northwest Territories,Territoires du Nord-Ouest
Yellowknife,Yellowknife,City,City,Northwest Territories,Territoires du Nord-Ouest
Iqaluit,Iqaluit,City,City,Nunavut,Nunavut
